MATRICULA,IDADE,ESTADO_CIVIL_ALUNOS,RAZAO_INATIVIDADE,TIPO_ENSINO_MEDIO,ANO_FORMATURA_ENSINO_MEDIO,NOTA,ESTATUS,TERMO,GENERO_MASCULINO,NACIONALIDADE_BRASILEIRA_POR_NATURALIZACAO,NACIONALIDADE_ESTRANGEIRA,TIPO_ADMISSAO_DECISAO_JUDICIAL_ADM,TIPO_ADMISSAO_GRADUADO,TIPO_ADMISSAO_REOPCAO,TIPO_ADMISSAO_SISU,TIPO_ADMISSAO_TRANSFERENCIA,TIPO_ADMISSAO_VESTIBULAR,POLITICA_AFIRMATIVA_BONUS,POLITICA_AFIRMATIVA_L1,POLITICA_AFIRMATIVA_L10,POLITICA_AFIRMATIVA_L13,POLITICA_AFIRMATIVA_L14,POLITICA_AFIRMATIVA_L2,POLITICA_AFIRMATIVA_L5,POLITICA_AFIRMATIVA_L6,POLITICA_AFIRMATIVA_L9
107210228,37,3,5,0,2011.0,7.1,0,2008.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
119110770,23,3,2,4,2017.0,9.2,0,2020.2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
110150214,33,3,5,0,2011.0,7.0,0,2010.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111210451,32,3,5,0,2011.0,5.2,0,2011.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
119210350,25,3,5,4,2017.0,1.7,5,2022.2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
115110820,29,3,5,4,2014.0,-1.0,4,2018.2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
118210302,26,3,0,4,2016.0,8.0,0,2019.1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
116210439,28,3,0,3,2014.0,5.4,0,2019.2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
109110095,32,3,5,3,2008.0,7.1,0,2013.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
119111373,30,3,0,3,2011.0,7.1,0,2020.1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
109210038,36,3,5,0,2011.0,1.4,5,2009.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
118210879,30,3,5,4,2013.0,5.0,0,2022.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
104110009,44,3,7,0,2011.0,0.0,4,2008.2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
118210343,25,3,2,4,2017.0,9.6,0,2019.1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
109110095,32,3,5,3,2008.0,-1.0,4,2012.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
114110493,28,3,5,3,2013.0,-1.0,4,2014.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
111110090,31,3,0,3,2010.0,7.5,0,2014.2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
108210306,34,3,5,0,2011.0,0.0,4,2008.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118110914,28,3,2,3,2014.0,9.1,0,2021.2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
